State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"39,909,885","2,231,597,425","30,772,624","9,137,261","1,773,905,088","457,692,337",77.10%,48.26,"2,233,926,261","2,671,645,062","1,773,905,088","897,739,974"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"13,136,180","730,837,517","10,719,524","2,416,656","609,256,084","121,581,433",81.60%,48.37,"731,494,168","847,385,454","609,256,084","238,129,370"
Vic,Australia,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"10,598,524","587,815,267","8,278,617","2,319,907","470,844,278","116,970,989",78.10%,48.61,"588,543,935","700,331,886","470,844,278","229,487,607"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"8,317,230","470,678,395","6,251,692","2,065,538","367,470,998","103,207,397",75.20%,49.1,"471,083,510","571,867,772","367,470,998","204,396,774"
SA,Victoria,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"2,643,086","148,721,612","1,956,286","686,800","114,353,588","34,368,023",74.00%,41.31,"148,982,849","177,079,371","114,353,588","62,725,783"
WA,Queensland,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"3,662,763","204,690,050","2,560,192","1,102,571","150,764,442","53,925,608",69.90%,46.95,"204,927,603","256,404,600","150,764,442","105,640,158"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"757,964","43,326,849","536,581","221,383","31,976,923","11,349,926",70.80%,55.29,"43,401,267","55,551,895","31,976,923","23,574,972"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"253,505","15,878,085","188,591","64,914","12,696,744","3,181,341",74.40%,44.34,"15,887,585","18,756,714","12,696,744","6,059,970"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,"539,761","29,595,615","280,392","259,369","16,494,174","13,101,441",51.90%,56.34,"29,551,192","44,207,242","16,494,174","27,713,069"
Unk,Northern Australia,2023-24 Q3 (Mar Qtr),Total GP Non-Referred Attendances,872,"54,036",749,123,"47,856","6,179",85.90%,50.31,"54,152","60,128","47,856","12,272"
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Practice Nurse,"701,282","11,153,039","683,069","18,213","10,198,620","954,419",97.40%,27.57,"10,753,274","11,655,161","10,198,620","1,456,541"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Practice Nurse,"211,468","3,204,509","207,128","4,340","2,999,312","205,197",97.90%,27.09,"3,125,237","3,322,069","2,999,312","322,758"
Vic,Australia,2023-24 Q3 (Mar Qtr),Practice Nurse,"135,894","2,031,983","131,353","4,541","1,773,047","258,936",96.70%,27.72,"1,917,828","2,157,842","1,773,047","384,795"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Practice Nurse,"178,361","3,093,403","171,375","6,986","2,673,571","419,832",96.10%,31.53,"2,902,261","3,313,680","2,673,571","640,109"
SA,Victoria,2023-24 Q3 (Mar Qtr),Practice Nurse,"55,020","762,612","54,149",871,"749,522","13,089",98.40%,3.2,"766,538","765,402","749,522","15,880"
WA,Queensland,2023-24 Q3 (Mar Qtr),Practice Nurse,"72,126","1,150,110","71,433",693,"1,130,625","19,485",99.00%,20.77,"1,145,821","1,164,507","1,130,625","33,882"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Practice Nurse,"18,869","285,860","18,181",688,"250,168","35,692",96.40%,29.62,"271,352","306,240","250,168","56,072"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Practice Nurse,"25,548","568,551","25,510",38,"567,629",922,99.90%,4.11,"568,469","568,707","567,629","1,078"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Practice Nurse,"3,969","55,550","3,913",56,"54,284","1,265",98.60%,12.55,"55,304","56,252","54,284","1,968"
Unk,Northern Australia,2023-24 Q3 (Mar Qtr),Practice Nurse,27,462,27, -   ,462, -   ,100.00%, - ,464,462,462, -   
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Other Allied Health,"3,735,111","302,656,431","1,614,668","2,120,443","112,219,835","190,436,596",43.20%,74.38,"350,847,412","460,368,301","112,219,835","348,148,465"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Other Allied Health,"1,176,149","95,012,961","510,768","665,381","35,917,003","59,095,958",43.40%,74.44,"109,882,580","144,542,377","35,917,003","108,625,374"
Vic,Australia,2023-24 Q3 (Mar Qtr),Other Allied Health,"1,084,482","87,488,250","454,431","630,051","31,200,144","56,288,107",41.90%,74,"101,350,502","134,113,532","31,200,144","102,913,388"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Other Allied Health,"734,336","59,269,200","341,378","392,958","23,895,097","35,374,103",46.50%,75.39,"68,906,742","88,894,502","23,895,097","64,999,405"
SA,Victoria,2023-24 Q3 (Mar Qtr),Other Allied Health,"280,072","21,707,962","149,137","130,935","9,882,438","11,825,524",53.20%,66.2,"25,355,656","30,375,510","9,882,438","20,493,071"
WA,Queensland,2023-24 Q3 (Mar Qtr),Other Allied Health,"337,692","28,324,069","129,676","208,016","8,935,085","19,388,984",38.40%,77.16,"32,810,443","44,374,286","8,935,085","35,439,201"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Other Allied Health,"67,488","5,757,987","16,741","50,747","1,397,324","4,360,662",24.80%,58.17,"6,719,229","8,710,089","1,397,324","7,312,765"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Other Allied Health,"11,233","887,683","5,574","5,659","413,917","473,766",49.60%,82.58,"1,036,810","1,355,005","413,917","941,087"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Other Allied Health,"43,584","4,202,718","6,917","36,667","575,522","3,627,197",15.90%,103.45,"4,778,866","7,995,837","575,522","7,420,316"
Unk,Northern Australia,2023-24 Q3 (Mar Qtr),Other Allied Health,75,"5,600",46,29,"3,305","2,295",61.30%,53.93,"6,586","7,164","3,305","3,859"
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Specialist Attendances,"8,388,631","707,857,479","2,330,637","6,057,994","203,636,255","504,221,225",27.80%,129.47,"839,878,607","1,354,152,807","203,636,255","1,150,516,552"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Specialist Attendances,"2,867,362","247,829,003","880,206","1,987,156","79,117,103","168,711,900",30.70%,138.58,"292,401,613","479,706,624","79,117,103","400,589,521"
Vic,Australia,2023-24 Q3 (Mar Qtr),Specialist Attendances,"2,349,740","201,203,400","678,395","1,671,345","60,542,836","140,660,564",28.90%,121.53,"239,217,614","367,214,618","60,542,836","306,671,781"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Specialist Attendances,"1,607,858","133,028,718","390,568","1,217,290","32,583,836","100,444,882",24.30%,133.43,"158,433,095","263,106,542","32,583,836","230,522,706"
SA,Victoria,2023-24 Q3 (Mar Qtr),Specialist Attendances,"596,544","47,953,846","175,687","420,857","14,576,305","33,377,541",29.50%,101.95,"57,087,323","85,073,854","14,576,305","70,497,548"
WA,Queensland,2023-24 Q3 (Mar Qtr),Specialist Attendances,"690,192","54,836,087","136,139","554,053","10,628,326","44,207,761",19.70%,130.17,"65,572,552","113,072,203","10,628,326","102,443,877"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Specialist Attendances,"134,277","10,591,290","33,120","101,157","2,908,379","7,682,910",24.70%,104.81,"12,614,421","19,426,530","2,908,379","16,518,151"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Specialist Attendances,"27,640","2,260,825","8,539","19,101","729,978","1,530,847",30.90%,129.98,"2,695,616","4,341,413","729,978","3,611,435"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Specialist Attendances,"114,895","10,143,474","27,942","86,953","2,545,125","7,598,349",24.30%,159.22,"11,843,442","22,191,973","2,545,125","19,646,848"
Unk,Northern Australia,2023-24 Q3 (Mar Qtr),Specialist Attendances,123,"10,837",41,82,"4,366","6,471",33.30%,120.03,"12,932","19,052","4,366","14,685"
Australia,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Obstetrics,"381,031","42,514,779","194,435","186,596","10,287,475","32,227,304",51.00%,370.95,"48,164,295","122,786,826","10,287,475","112,499,352"
NSW,Unknown,2023-24 Q3 (Mar Qtr),Obstetrics,"128,262","15,351,795","65,512","62,750","3,572,083","11,779,712",51.10%,445.19,"16,802,160","46,376,446","3,572,083","42,804,363"
Vic,Australia,2023-24 Q3 (Mar Qtr),Obstetrics,"102,644","11,138,595","70,704","31,940","3,543,466","7,595,129",68.90%,630.79,"12,795,230","32,699,151","3,543,466","29,155,685"
Qld,New South Wales,2023-24 Q3 (Mar Qtr),Obstetrics,"72,346","7,465,227","28,457","43,889","1,533,638","5,931,589",39.30%,209.53,"8,700,328","19,505,949","1,533,638","17,972,312"
SA,Victoria,2023-24 Q3 (Mar Qtr),Obstetrics,"22,668","2,622,898","9,064","13,604","525,115","2,097,782",40.00%,262.78,"2,998,035","7,018,736","525,115","6,493,621"
WA,Queensland,2023-24 Q3 (Mar Qtr),Obstetrics,"41,995","4,532,936","15,537","26,458","874,293","3,658,643",37.00%,245.96,"5,267,299","12,887,654","874,293","12,013,361"
Tas,South Australia,2023-24 Q3 (Mar Qtr),Obstetrics,"5,495","637,349","2,066","3,429","97,867","539,482",37.60%,250.71,"768,187","1,742,359","97,867","1,644,492"
NT,Western Australia,2023-24 Q3 (Mar Qtr),Obstetrics,"2,856","211,828","1,904",952,"73,501","138,327",66.70%,201.18,"248,206","421,884","73,501","348,383"
ACT,Tasmania,2023-24 Q3 (Mar Qtr),Obstetrics,"4,765","554,152","1,191","3,574","67,512","486,640",25.00%,405.17,"584,851","2,134,647","67,512","2,067,136"
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Anaesthetics,"948,701","140,648,858","83,545","865,156","9,340,618","131,308,239",8.80%,221.63,"182,655,041","364,618,538","9,340,618","355,277,919"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Anaesthetics,"298,723","45,370,867","31,969","266,754","3,411,190","41,959,677",10.70%,209.35,"59,326,039","119,858,256","3,411,190","116,447,065"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Anaesthetics,"238,507","34,998,075","21,440","217,067","2,253,521","32,744,554",9.00%,224.77,"44,506,981","90,695,762","2,253,521","88,442,241"
Qld,Australia,2023-24 Q3 (Mar Qtr),Anaesthetics,"195,451","28,977,675","19,290","176,161","2,335,254","26,642,422",9.90%,188.81,"37,855,129","75,485,447","2,335,254","73,150,193"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Anaesthetics,"75,218","10,597,452","5,446","69,772","698,773","9,898,679",7.20%,162.23,"13,988,373","25,715,203","698,773","25,016,430"
WA,Victoria,2023-24 Q3 (Mar Qtr),Anaesthetics,"105,433","15,466,438","4,493","100,940","539,843","14,926,595",4.30%,403.48,"20,087,253","37,895,916","539,843","37,356,073"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Anaesthetics,"18,543","2,800,706",208,"18,335","24,649","2,776,057",1.10%,112.39,"3,693,026","7,372,249","24,649","7,347,601"
NT,South Australia,2023-24 Q3 (Mar Qtr),Anaesthetics,"3,963","612,830",148,"3,815","20,260","592,570",3.70%,257.15,"807,904","1,722,864","20,260","1,702,604"
ACT,Western Australia,2023-24 Q3 (Mar Qtr),Anaesthetics,"12,835","1,820,071",551,"12,284","57,128","1,762,943",4.30%,240.02,"2,384,012","5,861,109","57,128","5,803,981"
Unk,Tasmania,2023-24 Q3 (Mar Qtr),Anaesthetics,28,"4,743", -   ,28, -   ,"4,743",0.00%, - ,"6,324","11,731", -   ,"11,731"
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Total Pathology,"41,430,549","926,116,625","36,925,757","4,504,792","830,251,106","95,865,519",89.10%,24.92,"1,097,823,325","986,156,281","827,064,513","159,091,768"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Total Pathology,"13,743,836","309,088,737","12,120,308","1,623,528","276,291,362","32,797,375",88.20%,25.71,"366,646,854","328,171,801","275,385,658","52,786,143"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Total Pathology,"10,062,722","220,130,295","9,110,249","952,473","198,682,686","21,447,609",90.50%,25.02,"260,453,255","235,324,792","197,786,443","37,538,349"
Qld,Australia,2023-24 Q3 (Mar Qtr),Total Pathology,"9,191,076","209,591,269","8,121,251","1,069,825","187,214,616","22,376,653",88.40%,25.35,"248,687,197","222,994,199","186,482,519","36,511,680"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Total Pathology,"2,741,930","58,544,825","2,421,274","320,656","51,587,780","6,957,045",88.30%,26.42,"69,494,557","62,709,020","51,341,258","11,367,761"
WA,Victoria,2023-24 Q3 (Mar Qtr),Total Pathology,"3,944,385","90,579,531","3,547,911","396,474","81,759,540","8,819,990",89.90%,22.05,"107,389,779","96,597,154","81,487,141","15,110,013"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Total Pathology,"859,515","18,144,176","777,779","81,736","16,281,866","1,862,310",90.50%,27.41,"21,514,891","19,262,650","16,224,619","3,038,031"
NT,South Australia,2023-24 Q3 (Mar Qtr),Total Pathology,"271,708","6,089,024","263,395","8,313","5,854,710","234,314",96.90%,29.22,"7,155,126","6,216,058","5,818,529","397,529"
ACT,Western Australia,2023-24 Q3 (Mar Qtr),Total Pathology,"614,509","13,930,131","562,849","51,660","12,562,397","1,367,734",91.60%,18.02,"16,459,408","14,860,327","12,522,205","2,338,122"
Unk,Tasmania,2023-24 Q3 (Mar Qtr),Total Pathology,868,"18,638",741,127,"16,149","2,489",85.40%,13.64,"22,258","20,281","16,141","4,140"
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"7,583,963","1,225,635,052","5,775,193","1,808,770","960,421,647","265,213,405",76.20%,131.95,"1,332,294,201","1,442,174,455","960,421,647","481,752,808"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"2,618,924","428,236,396","2,018,837","600,087","337,245,230","90,991,166",77.10%,127.4,"466,435,921","493,797,637","337,245,230","156,552,407"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"1,881,982","296,080,116","1,447,849","434,133","234,865,687","61,214,429",76.90%,136.37,"321,008,878","350,569,181","234,865,687","115,703,494"
Qld,Australia,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"1,588,912","257,479,252","1,196,696","392,216","200,788,628","56,690,624",75.30%,131.56,"279,588,735","306,479,502","200,788,628","105,690,874"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"494,533","81,814,195","361,114","133,419","61,030,772","20,783,424",73.00%,144.07,"89,351,268","98,969,206","61,030,772","37,938,435"
WA,Victoria,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"758,675","123,770,753","591,509","167,166","99,915,131","23,855,622",78.00%,119.1,"134,026,909","143,146,100","99,915,131","43,230,969"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"115,742","17,365,497","77,794","37,948","12,067,992","5,297,505",67.20%,128.88,"19,065,509","21,853,079","12,067,992","9,785,087"
NT,South Australia,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"35,322","5,246,785","29,441","5,881","4,457,178","789,607",83.40%,158.95,"5,627,103","6,107,196","4,457,178","1,650,018"
ACT,Western Australia,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,"89,737","15,616,326","51,844","37,893","10,029,200","5,587,126",57.80%,153.9,"17,162,090","21,222,994","10,029,200","11,193,794"
Unk,Tasmania,2023-24 Q3 (Mar Qtr),Diagnostic Imaging,136,"25,732",109,27,"21,829","3,902",80.10%,131.89,"27,788","29,560","21,829","7,730"
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Total Operations,"2,957,890","589,091,125","1,036,581","1,921,309","115,325,498","473,765,626",35.00%,123.84,"747,666,599","1,253,980,299","115,325,498","1,138,654,801"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Total Operations,"960,637","194,118,257","367,520","593,117","43,114,932","151,003,325",38.30%,141.37,"245,020,105","426,606,192","43,114,932","383,491,261"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Total Operations,"615,292","133,272,893","166,046","449,246","20,399,277","112,873,616",27.00%,124.71,"170,808,891","282,817,007","20,399,277","262,417,730"
Qld,Australia,2023-24 Q3 (Mar Qtr),Total Operations,"759,214","131,026,880","328,399","430,815","33,179,462","97,847,418",43.30%,117.71,"164,365,097","275,153,472","33,179,462","241,974,010"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Total Operations,"200,236","44,350,004","60,007","140,229","7,051,150","37,298,854",30.00%,93.04,"57,205,267","87,158,913","7,051,150","80,107,763"
WA,Victoria,2023-24 Q3 (Mar Qtr),Total Operations,"314,503","62,923,301","90,573","223,930","8,925,357","53,997,944",28.80%,100.35,"80,495,156","127,033,486","8,925,357","118,108,129"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Total Operations,"58,385","12,723,767","12,303","46,082","1,319,387","11,404,380",21.10%,78.6,"16,352,572","26,371,226","1,319,387","25,051,839"
NT,South Australia,2023-24 Q3 (Mar Qtr),Total Operations,"13,779","2,592,221","5,532","8,247","563,335","2,028,886",40.10%,106.66,"3,310,823","5,664,852","563,335","5,101,517"
ACT,Western Australia,2023-24 Q3 (Mar Qtr),Total Operations,"35,777","8,066,508","6,183","29,594","769,700","7,296,808",17.30%,185.08,"10,086,530","23,144,216","769,700","22,374,516"
Unk,Tasmania,2023-24 Q3 (Mar Qtr),Total Operations,67,"17,293",18,49,"2,898","14,395",26.90%,125.83,"22,158","30,935","2,898","28,037"
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Optometry,"2,836,357","146,906,582","2,674,409","161,948","138,684,771","8,221,812",94.30%,39.39,"172,732,839","153,285,567","138,684,771","14,600,797"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Optometry,"902,311","46,728,296","860,721","41,590","44,598,489","2,129,807",95.40%,37.64,"54,945,104","48,293,713","44,598,489","3,695,224"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Optometry,"712,005","36,995,094","665,729","46,276","34,599,894","2,395,201",93.50%,38.9,"43,498,210","38,795,375","34,599,894","4,195,481"
Qld,Australia,2023-24 Q3 (Mar Qtr),Optometry,"621,747","32,029,310","583,941","37,806","30,169,867","1,859,443",93.90%,37.86,"37,660,035","33,460,752","30,169,867","3,290,885"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Optometry,"206,105","10,710,708","196,785","9,320","10,239,038","471,670",95.50%,41.25,"12,595,073","11,095,152","10,239,038","856,114"
WA,Victoria,2023-24 Q3 (Mar Qtr),Optometry,"270,067","14,044,770","253,673","16,394","13,222,801","821,970",93.90%,45.71,"16,514,343","14,794,151","13,222,801","1,571,350"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Optometry,"58,961","3,040,910","55,063","3,898","2,838,648","202,263",93.40%,30.34,"3,575,973","3,159,171","2,838,648","320,524"
NT,South Australia,2023-24 Q3 (Mar Qtr),Optometry,"18,468","953,021","18,138",330,"936,251","16,770",98.20%,41.35,"1,120,778","966,668","936,251","30,417"
ACT,Western Australia,2023-24 Q3 (Mar Qtr),Optometry,"46,651","2,402,229","40,324","6,327","2,077,884","324,345",86.40%,49.88,"2,820,686","2,717,848","2,077,884","639,964"
Unk,Tasmania,2023-24 Q3 (Mar Qtr),Optometry,42,"2,243",35,7,"1,900",344,83.30%,70.56,"2,638","2,737","1,900",838
Australia,Northern Australia,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"647,179","175,144,905","501,400","145,779","124,251,574","50,893,331",77.50%,86.69,"172,302,946","188,531,516","124,251,574","64,279,942"
NSW,Australian Capital Territory,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"189,044","50,326,098","152,792","36,252","36,948,822","13,377,276",80.80%,89.8,"50,361,704","53,739,547","36,948,822","16,790,726"
Vic,Unknown,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"143,249","38,924,166","109,760","33,489","27,476,943","11,447,224",76.60%,87.48,"38,697,171","42,186,207","27,476,943","14,709,265"
Qld,Australia,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"149,996","41,843,621","107,783","42,213","27,768,704","14,074,917",71.90%,84.9,"39,428,529","45,651,473","27,768,704","17,882,770"
SA,New South Wales,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"57,751","15,771,231","43,050","14,701","10,959,663","4,811,568",74.50%,73.49,"15,723,745","16,865,592","10,959,663","5,905,929"
WA,Victoria,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"73,677","19,407,303","60,811","12,866","14,126,774","5,280,529",82.50%,100.59,"19,151,154","20,701,996","14,126,774","6,575,222"
Tas,Queensland,2023-24 Q3 (Mar Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"19,841","4,599,536","15,606","4,235","3,336,104","1,263,432",78.70%,72.71,"4,564,068","4,916,127","3,336,104","1,580,023"
